"Rawson et al., Compositional variability in mafic arc magmas over short spatial and temporal scales: evidence for the signature of mantle reactive melt channels ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supplementary whole rock analyses new and published,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Raw Whole Rock Major data (wt.%),,,,,,,,,,,,,,Normalised Whole Rock Major data (wt%),,,,,,,,,,,Whole Rock Trace data (ug/g),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mocho-Choshuenco,115_03F,Central vent : unit MC10D,7065-4555,39.961,71.903,this study,46.36,1.21,22.18,10.80,0.12,4.08,7.61,2.52,0.36,0.20,42.75,4.65,100.08,,46.32,1.21,22.16,10.79,0.12,4.07,7.60,2.52,0.36,0.20,,20.50,103.58,3.00,0.40,9.55,897.72,33.45,265.68,69.70,27.31,31.86,77.00,58.24,24.09,7.46,500.34,182.44,23.32,2.85,0.67,0.59,11.19,3.68,18.93,4.62,1.41,4.55,0.72,4.68,0.90,2.62,0.38,2.44,0.37,3.24,0.20
Mocho-Choshuenco,115_03I,Central vent : unit MC10G,5415-3580,39.961,71.903,this study,47.24,1.16,21.55,10.49,0.13,4.50,8.12,2.67,0.44,0.21,45.88,3.49,100.02,,47.23,1.16,21.55,10.49,0.13,4.49,8.12,2.67,0.44,0.21,,20.95,101.99,2.92,0.51,8.90,953.68,34.94,281.82,73.97,29.80,37.21,76.20,66.09,24.14,10.03,514.05,203.00,25.68,2.92,0.71,0.73,10.72,3.62,18.56,4.40,1.44,4.63,0.74,4.53,0.89,2.73,0.37,2.51,0.35,3.03,0.18
Mocho-Choshuenco,130111_09A,Central vent : unit MC12 ,2832-2158,39.853,71.895,this study,56.43,1.14,18.06,7.37,0.17,1.34,3.53,4.54,1.47,0.35,26.46,5.69,100.11,,56.37,1.13,18.04,7.36,0.17,1.34,3.52,4.53,1.47,0.35,,49.39,247.70,6.04,1.64,20.97,1710.51,26.37,64.57,2.15,9.39,Below DL,28.79,105.90,23.96,39.25,344.30,509.68,54.85,6.29,1.83,3.01,25.26,7.83,36.79,8.96,2.36,9.27,1.42,9.24,1.83,5.40,0.78,5.24,0.79,7.06,0.37
Mocho-Choshuenco,130111_12Aii,Central vent : unit MC12 ,2832-2158,39.862,71.885,this study,57.66,1.14,18.01,7.33,0.17,1.41,3.68,4.66,1.49,0.36,27.49,4.25,100.19,,57.55,1.14,17.98,7.32,0.17,1.40,3.68,4.65,1.48,0.36,,46.29,231.17,5.73,1.63,22.25,1781.00,25.11,56.48,2.26,8.09,Below DL,20.50,106.59,25.03,38.53,360.42,512.81,54.44,6.52,1.78,2.92,22.94,7.70,35.44,8.79,2.32,9.08,1.47,9.06,1.84,5.39,0.79,5.24,0.80,6.76,0.33
Mocho-Choshuenco,130111_12Ai,Central vent : unit MC12,2832-2158,39.862,71.885,this study,58.15,1.14,17.99,7.29,0.17,1.40,3.69,4.74,1.52,0.37,27.50,3.99,100.46,,57.88,1.14,17.91,7.25,0.17,1.39,3.67,4.71,1.51,0.36,,46.58,235.63,5.83,1.70,22.80,1799.53,24.70,53.33,1.08,7.68,Below DL,19.54,108.92,25.44,39.08,358.12,522.54,54.58,6.82,1.87,3.16,23.81,7.83,36.05,8.90,2.34,9.19,1.42,9.43,1.85,5.61,0.80,5.25,0.79,6.96,0.33
Mocho-Choshuenco,229_02A,Central vent : unit MC12,2832-2158,39.894,71.961,this study,61.06,1.10,17.05,6.93,0.17,1.44,3.79,5.13,1.64,0.36,29.08,2.18,100.87,,60.54,1.09,16.90,6.87,0.16,1.42,3.76,5.09,1.62,0.36,,45.14,225.50,5.61,1.72,21.06,1765.74,23.42,52.05,1.35,7.71,Below DL,18.38,112.13,24.42,42.01,378.50,562.28,55.58,6.28,1.73,3.14,22.60,7.44,36.05,9.28,2.34,9.10,1.45,8.97,1.87,5.61,0.77,5.22,0.79,6.80,0.35
Mocho-Choshuenco,115_04Cii,Central vent : unit MC14,2083-1594,39.950,71.904,this study,57.25,1.34,17.24,8.87,0.19,2.47,5.53,4.51,1.15,0.32,35.55,1.16,100.03,,57.23,1.34,17.23,8.86,0.19,2.47,5.53,4.51,1.15,0.32,,36.46,153.25,3.95,1.17,13.90,1514.19,29.49,179.38,3.31,15.98,Below DL,24.76,103.82,23.19,29.26,439.65,393.73,39.37,4.22,1.23,2.32,17.55,5.67,26.50,6.64,1.95,7.02,1.13,7.29,1.47,4.32,0.62,4.20,0.64,4.58,0.24
Mocho-Choshuenco,115_04Ci,Central vent : unit MC14,2083-1594,39.950,71.904,this study,57.25,1.34,17.24,8.87,0.19,2.47,5.53,4.51,1.15,0.32,35.55,1.16,100.03,,57.23,1.34,17.23,8.86,0.19,2.47,5.53,4.51,1.15,0.32,,36.58,153.87,3.93,1.18,14.23,1554.30,30.63,186.20,3.46,16.02,Below DL,25.96,106.57,24.32,29.94,446.38,410.21,40.64,4.18,1.20,2.24,17.24,5.75,26.82,6.69,2.01,7.26,1.15,7.30,1.47,4.35,0.63,4.12,0.62,4.67,0.25
Mocho-Choshuenco,229_02C,Central vent : unit MC15A (Enco),1695-1465,39.894,71.961,this study,57.44,1.29,17.12,8.88,0.18,2.74,6.23,4.52,1.13,0.26,37.92,0.23,100.01,,57.43,1.29,17.12,8.87,0.18,2.74,6.23,4.51,1.13,0.26,,37.00,147.81,3.76,1.25,15.07,1467.76,35.59,254.17,2.89,20.80,2.31,41.92,127.24,27.30,32.14,538.29,439.55,38.90,3.58,1.04,2.09,15.44,5.09,23.08,6.14,1.78,6.39,1.00,6.47,1.31,3.96,0.56,3.82,0.57,3.95,0.20
Mocho-Choshuenco,115_01F,Central vent : unit MC15A (Enco),1695-1465,39.868,71.913,this study,59.39,1.26,16.29,8.13,0.17,2.53,5.53,4.98,1.27,0.31,38.07,0.08,99.95,,59.42,1.26,16.30,8.13,0.17,2.53,5.53,4.99,1.27,0.31,,35.03,147.50,3.97,1.22,14.14,1535.63,28.64,163.35,0.75,14.50,Below DL,23.76,110.60,23.23,31.90,470.37,432.26,38.21,3.90,1.14,2.34,17.70,5.75,24.51,6.22,1.83,6.58,1.02,6.62,1.33,4.07,0.58,3.80,0.58,4.28,0.24
Mocho-Choshuenco,302_03B,Central vent : unit MC15C (Enco),1695-1465,39.881,71.915,this study,59.83,1.25,16.75,8.04,0.18,2.44,5.44,4.92,1.25,0.32,37.57,0.17,100.63,,59.46,1.25,16.65,7.99,0.18,2.43,5.41,4.89,1.25,0.32,,36.38,150.77,3.98,1.24,14.35,1591.27,29.27,163.14,0.90,15.27,Below DL,26.85,111.12,23.85,31.36,479.39,440.01,41.71,3.85,1.13,2.32,17.28,5.62,26.48,6.40,1.87,6.99,1.11,6.87,1.40,4.18,0.58,3.95,0.58,4.36,0.23
Mocho-Choshuenco,130130_03F,Central vent : unit MC15C (Enco),1695-1465,39.866,71.897,this study,59.98,1.23,16.59,7.66,0.18,2.27,5.15,4.99,1.33,0.35,36.94,0.41,100.15,,59.89,1.23,16.56,7.65,0.18,2.26,5.15,4.98,1.33,0.35,,37.29,158.74,4.24,1.29,15.01,1763.33,27.72,137.64,0.93,13.42,Below DL,21.68,108.65,23.74,33.68,460.45,465.96,41.57,4.20,1.21,2.46,18.31,6.09,27.14,6.75,2.00,7.06,1.12,6.99,1.49,4.42,0.64,4.16,0.63,4.89,0.25
Mocho-Choshuenco,115_04E,Central vent : unit MC15C (Enco),1695-1465,39.950,71.904,this study,59.73,1.24,16.35,7.77,0.18,2.30,5.29,5.21,1.31,0.33,36.91,0.02,99.74,,59.89,1.24,16.39,7.79,0.18,2.30,5.31,5.22,1.31,0.33,,37.06,157.67,4.21,1.29,15.24,1639.46,27.77,136.32,0.78,12.99,Below DL,22.74,113.04,23.51,33.47,466.45,464.92,41.56,4.21,1.23,2.53,18.97,6.07,26.52,6.81,1.97,7.32,1.14,7.19,1.48,4.29,0.62,4.23,0.61,4.66,0.25
Mocho-Choshuenco,130106_01B,Central vent : unit MC15D (Enco),1695-1465,39.937,72.098,this study,57.58,1.18,17.79,8.15,0.16,2.87,6.74,4.38,1.11,0.27,41.04,0.14,100.37,,57.37,1.17,17.72,8.12,0.16,2.86,6.71,4.36,1.11,0.27,,31.22,130.14,3.47,1.04,12.83,1371.17,29.55,200.07,11.94,18.30,7.34,35.35,105.18,24.05,27.43,539.92,396.41,34.55,3.25,0.96,2.00,14.76,4.78,21.75,5.47,1.70,5.70,0.93,5.87,1.19,3.55,0.51,3.37,0.49,3.73,0.20
Mocho-Choshuenco,130131_07A,Central vent : unit MC15D (Enco),1695-1465,39.941,71.907,this study,58.22,1.25,16.91,8.55,0.17,2.73,6.26,4.65,1.16,0.29,38.75,0.06,100.26,,58.07,1.25,16.87,8.52,0.17,2.73,6.24,4.63,1.15,0.28,,33.18,135.91,3.58,1.15,13.19,1440.82,31.39,219.92,3.82,18.11,2.84,41.68,111.41,23.97,28.86,492.52,403.10,36.48,3.43,1.01,2.11,15.31,4.99,22.92,5.94,1.74,5.98,0.98,6.40,1.28,3.75,0.56,3.51,0.52,3.91,0.21
Mocho-Choshuenco,130108_03G,Central vent : unit MC15D (Enco),1695-1465,39.871,71.912,this study,59.83,1.23,16.71,7.90,0.17,2.45,5.50,4.81,1.27,0.32,38.01,0.06,100.28,,59.66,1.23,16.66,7.87,0.17,2.44,5.49,4.80,1.26,0.32,,35.38,146.21,3.96,1.19,14.25,1568.98,28.47,159.74,2.20,14.47,1.35,26.78,109.21,23.42,31.15,473.62,435.67,38.89,3.93,1.14,2.35,17.11,5.65,25.01,6.36,1.87,6.64,1.06,6.64,1.40,4.07,0.58,4.00,0.58,4.34,0.23
Mocho-Choshuenco,302_03Ci,Central vent : unit MC18 (Hua-hum),1375-1155,39.881,71.915,this study,60.71,1.10,17.44,6.57,0.16,2.10,4.81,5.00,1.37,0.36,38.77,1.52,101.15,,60.02,1.09,17.24,6.49,0.15,2.08,4.76,4.94,1.36,0.36,,35.97,185.09,5.97,1.43,17.41,1851.77,23.73,108.58,2.30,10.29,1.24,12.82,103.16,24.02,35.00,494.43,513.81,52.37,4.76,1.35,2.64,22.45,6.94,28.34,6.75,1.90,6.69,1.00,6.40,1.36,3.94,0.57,3.86,0.57,4.90,0.32
Mocho-Choshuenco,130126_01B,Central vent : unit MC18 (Hua-hum),1375-1155,39.899,71.968,this study,60.90,1.14,16.88,6.88,0.16,2.23,5.22,5.05,1.43,0.37,39.06,0.16,100.42,,60.64,1.13,16.80,6.85,0.16,2.22,5.20,5.03,1.42,0.37,,32.87,169.96,5.36,1.27,14.89,1801.21,22.68,115.21,0.25,10.48,Below DL,10.90,101.66,21.88,30.30,480.83,491.26,46.03,4.55,1.30,2.50,21.99,6.61,29.80,6.69,2.02,7.19,1.10,6.94,1.39,4.11,0.57,3.90,0.58,5.16,0.31
Mocho-Choshuenco,130129_07A,Central vent : unit MC18 (Hua-hum),1375-1155,39.979,71.921,this study,60.92,1.09,17.20,6.25,0.16,1.86,4.49,5.12,1.48,0.40,37.05,1.26,100.24,,60.77,1.09,17.16,6.24,0.16,1.85,4.48,5.11,1.48,0.40,,40.19,213.55,6.63,1.56,18.68,Over range,21.84,86.14,1.48,9.10,Below DL,10.93,106.52,23.74,37.00,498.59,582.09,58.88,4.83,1.38,2.49,24.26,7.41,33.84,7.84,2.11,7.95,1.23,7.46,1.53,4.49,0.66,4.24,0.67,5.73,0.38
Mocho-Choshuenco,130107_06A,Central vent : unit MC18 (Hua-hum),1375-1155,39.996,71.934,this study,61.67,1.11,16.56,6.26,0.16,1.73,4.33,5.12,1.56,0.38,35.28,1.04,99.92,,61.72,1.11,16.57,6.27,0.16,1.73,4.34,5.13,1.56,0.38,,39.14,196.02,5.58,1.57,17.98,Over range,22.29,91.40,1.33,9.51,Below DL,20.75,104.14,23.00,38.35,435.20,547.72,52.14,4.50,1.33,2.65,21.15,6.67,31.75,7.74,1.95,7.78,1.20,7.48,1.53,4.59,0.64,4.25,0.65,5.44,0.32
Mocho-Choshuenco,124_02F,Central vent : unit MC20,1228-842,39.896,71.964,this study,61.95,1.12,16.71,6.03,0.16,1.89,4.60,5.27,1.41,0.42,38.30,0.52,100.10,,61.89,1.12,16.69,6.03,0.16,1.89,4.60,5.27,1.41,0.42,,39.52,185.07,5.31,1.50,17.12,Over range,22.75,80.52,1.66,8.07,Below DL,6.37,112.26,24.28,37.69,527.92,547.53,50.68,4.17,1.20,2.52,20.35,6.62,30.15,6.98,2.07,7.31,1.17,7.08,1.46,4.28,0.61,4.01,0.62,4.96,0.31
Mocho-Choshuenco,116_10E,Central vent : unit MC20,1228-842,39.889,71.969,this study,62.07,1.06,16.68,5.66,0.16,1.70,4.23,5.28,1.49,0.37,37.27,1.53,100.23,,61.93,1.06,16.64,5.64,0.16,1.69,4.22,5.27,1.48,0.37,,38.58,186.14,5.31,1.50,17.16,Over range,20.68,63.53,0.85,6.68,Below DL,6.55,104.79,23.00,36.99,473.87,534.53,49.04,4.33,1.26,2.63,20.43,6.39,30.36,7.35,2.04,7.46,1.16,7.22,1.49,4.27,0.61,4.03,0.61,5.20,0.30
Mocho-Choshuenco,130126_01Dii,Central vent : unit MC20,1228-842,39.899,71.968,this study,63.59,1.04,16.45,5.50,0.16,1.63,4.15,5.50,1.56,0.36,36.91,0.26,100.20,,63.46,1.03,16.42,5.49,0.16,1.62,4.15,5.49,1.56,0.36,,36.32,176.42,4.96,1.43,16.24,1691.19,18.92,52.73,0.18,5.30,Below DL,4.65,97.50,21.30,35.74,430.33,511.35,46.62,4.49,1.31,2.80,20.70,6.62,30.31,7.29,2.05,7.48,1.18,7.21,1.50,4.43,0.62,4.16,0.65,5.42,0.34
Mocho-Choshuenco,130126_01Di,Central vent : unit MC20,1228-842,39.899,71.968,this study,63.24,1.06,16.51,5.60,0.16,1.70,4.28,5.48,1.53,0.38,37.53,0.25,100.19,,63.12,1.06,16.48,5.59,0.16,1.70,4.27,5.47,1.53,0.38,,37.56,184.52,5.13,1.48,16.77,Over range,20.19,57.98,0.17,5.89,Below DL,4.42,102.62,22.46,34.04,454.38,532.39,47.78,4.29,1.26,2.64,20.03,6.44,29.36,7.02,2.04,7.17,1.16,6.97,1.41,4.08,0.61,3.90,0.60,5.22,0.30
Mocho-Choshuenco,130107_03F,Central vent : unit MC21 (Pilmaiquen),543-365,39.961,71.903,this study,55.38,1.14,17.39,8.95,0.16,4.28,7.13,3.85,1.01,0.25,48.64,0.61,100.16,,55.30,1.14,17.36,8.94,0.16,4.28,7.12,3.84,1.01,0.25,,25.74,100.86,3.30,0.84,10.07,1184.45,28.41,224.94,47.90,25.90,32.10,63.28,94.96,21.27,26.55,473.07,348.05,32.28,3.40,0.92,1.79,13.84,4.49,22.19,5.33,1.64,5.51,0.88,5.58,1.12,3.21,0.46,2.97,0.47,3.26,0.22
Mocho-Choshuenco,130129_01A,Central vent : unit MC21 (Pilmaiquen),543-365,39.920,71.900,this study,53.95,1.12,17.93,9.19,0.16,4.61,8.00,3.66,0.81,0.21,49.82,0.61,100.25,,53.82,1.12,17.89,9.17,0.16,4.60,7.98,3.65,0.80,0.21,,23.21,93.63,2.39,0.76,8.97,1000.37,31.70,248.32,65.30,27.06,37.25,58.77,91.43,21.26,19.62,488.98,287.85,25.60,2.65,0.75,1.46,11.66,3.69,17.60,4.31,1.41,4.81,0.73,4.89,0.98,2.82,0.40,2.62,0.40,2.97,0.16
Mocho-Choshuenco,130117_01C,Central vent : unit MC21 (Pilmaiquen),543-365,39.915,71.900,this study,54.60,1.15,17.52,9.28,0.16,4.55,7.86,3.80,0.88,0.22,49.21,0.01,100.02,,54.58,1.15,17.51,9.28,0.16,4.55,7.86,3.80,0.88,0.22,,25.54,102.92,2.74,0.86,10.39,1115.64,33.10,259.15,62.55,28.10,34.83,60.15,102.26,22.63,22.19,507.61,326.65,28.62,2.77,0.81,1.54,12.51,4.05,18.03,4.58,1.43,4.94,0.78,4.92,0.99,2.94,0.42,2.78,0.40,3.04,0.17
Mocho-Choshuenco,123_03A,Central vent : unit MC23 (Arauco),460-215,39.854,72.105,this study,55.77,1.29,16.57,9.19,0.18,2.90,6.30,4.44,1.03,0.28,38.45,1.16,99.13,,56.26,1.30,16.71,9.27,0.18,2.93,6.35,4.48,1.04,0.28,,31.15,128.88,3.36,1.05,11.66,1388.11,31.52,261.86,3.44,20.73,Below DL,51.26,112.36,24.10,27.00,480.72,399.30,35.71,3.21,0.95,1.93,14.87,4.77,22.60,5.65,1.72,6.01,0.95,5.98,1.20,3.56,0.52,3.49,0.53,3.74,0.21
Mocho-Choshuenco,229_02D,Central vent : unit MC24,374-96,39.894,71.961,this study,60.61,1.18,16.53,7.28,0.17,2.20,5.15,5.04,1.36,0.36,37.40,0.04,99.92,,60.65,1.19,16.54,7.29,0.17,2.20,5.15,5.05,1.36,0.36,,38.96,164.70,4.41,1.37,15.45,Over range,27.82,120.23,4.81,12.88,1.87,22.74,113.48,24.37,36.10,479.06,485.47,44.28,4.50,1.29,2.63,19.18,6.22,27.59,6.81,1.94,7.29,1.13,7.28,1.46,4.39,0.64,4.22,0.63,4.76,0.25
Mocho-Choshuenco,130106_07Aii,Central vent : unit MC25 (Rinihue),278-48,39.937,72.121,this study,57.37,1.15,17.39,8.29,0.16,3.20,7.03,4.31,1.13,0.25,43.33,0.13,100.40,,57.14,1.15,17.32,8.26,0.16,3.19,7.00,4.29,1.12,0.25,,30.05,129.31,3.39,1.06,13.03,1254.37,30.39,236.53,22.47,20.91,12.26,65.43,103.44,23.33,29.57,511.71,400.60,34.43,3.41,0.99,2.07,14.23,4.60,21.65,5.30,1.62,5.76,0.89,5.58,1.14,3.50,0.48,3.22,0.49,3.73,0.19
Mocho-Choshuenco,130117_01E,Central vent : unit MC25 (Rinihue),278-48,39.915,71.900,this study,52.92,1.01,18.35,8.90,0.15,5.28,8.62,3.45,0.73,0.18,54.01,0.65,100.23,,52.80,1.00,18.30,8.88,0.15,5.27,8.60,3.44,0.73,0.18,,21.29,83.48,2.06,0.71,8.33,902.84,32.10,261.11,82.28,31.72,52.94,81.85,91.28,21.82,17.50,517.99,258.43,21.86,1.98,0.61,1.33,9.36,3.07,15.40,4.02,1.32,4.30,0.68,4.31,0.89,2.58,0.37,2.45,0.36,2.62,0.13
Mocho-Choshuenco,130106_07Ai ,Central vent : unit MC25 (Rinihue),278-48,39.937,72.121,this study,57.17,1.15,17.29,8.29,0.16,3.22,6.98,4.30,1.13,0.25,43.45,0.13,100.06,,57.13,1.15,17.28,8.28,0.16,3.22,6.98,4.30,1.13,0.25,,30.02,128.07,3.38,1.07,11.91,1229.17,29.99,231.07,21.38,20.70,Below DL,63.79,100.84,22.83,30.33,504.64,397.98,35.25,3.44,1.02,2.17,14.83,4.62,22.89,5.61,1.72,5.81,0.96,6.03,1.19,3.55,0.51,3.27,0.53,3.86,0.22
Mocho-Choshuenco,130106_07D,Central vent : unit MC25 (Rinihue),278-48,39.937,72.121,this study,57.76,1.15,17.31,8.20,0.16,3.12,6.81,4.33,1.17,0.25,42.97,0.06,100.33,,57.57,1.15,17.25,8.18,0.16,3.11,6.78,4.31,1.17,0.25,,29.87,131.12,3.39,1.09,14.56,1298.99,30.77,235.74,20.25,20.66,11.41,64.48,104.18,23.33,31.13,505.40,405.37,34.95,3.45,1.01,2.19,14.94,4.85,20.84,5.15,1.57,5.54,0.85,5.53,1.10,3.26,0.45,3.24,0.47,3.63,0.19
Mocho-Choshuenco,130106_07F,Central vent : unit MC25 (Rinihue),278-48,39.937,72.121,this study,57.66,1.16,17.29,8.20,0.16,2.99,6.70,4.38,1.17,0.26,41.93,0.22,100.20,,57.55,1.16,17.26,8.19,0.16,2.99,6.68,4.37,1.17,0.26,,30.58,132.55,3.48,1.10,12.99,1319.76,30.43,230.03,16.51,20.06,9.65,54.69,105.19,23.71,30.13,509.57,411.44,35.40,3.52,1.03,2.20,14.78,4.81,22.44,5.47,1.65,5.76,0.92,5.76,1.19,3.47,0.48,3.31,0.51,3.82,0.23
Mocho-Choshuenco,130106_03C,Central vent : unit MC26,post-dating MC15,39.937,72.104,this study,57.75,1.16,17.65,8.02,0.16,2.84,6.75,4.52,1.09,0.27,41.19,-0.02,100.21,,57.63,1.16,17.61,8.01,0.16,2.84,6.73,4.52,1.09,0.27,,30.78,129.35,3.42,1.08,12.34,1363.87,29.07,201.31,10.76,18.22,7.25,63.51,104.82,23.79,27.48,541.56,384.59,34.41,3.26,0.96,1.99,14.46,4.75,21.91,5.44,1.72,5.88,0.95,5.72,1.19,3.58,0.50,3.29,0.49,3.77,0.20
Mocho-Choshuenco,130106_08G,Central vent : unit MC27D,Between MC4 and MC23,39.854,72.105,this study,57.68,1.26,17.19,8.51,0.17,2.89,5.43,4.35,1.11,0.25,40.16,1.14,100.01,,57.67,1.26,17.19,8.51,0.17,2.89,5.43,4.35,1.11,0.25,,29.88,133.63,3.71,1.08,14.07,1299.53,30.92,227.73,9.77,18.50,7.46,28.67,117.86,24.47,28.39,454.58,402.58,34.14,3.62,1.03,2.26,14.27,4.80,22.17,5.49,1.80,5.90,0.91,5.85,1.17,3.55,0.53,3.39,0.50,4.01,0.23
Mocho-Choshuenco,130106_08F,Central vent : unit MC27D,Between MC4 and MC23,39.854,72.105,this study,58.90,1.28,16.45,8.58,0.18,2.61,5.56,4.65,1.30,0.31,37.60,0.44,100.29,,58.73,1.28,16.41,8.56,0.18,2.61,5.54,4.64,1.30,0.31,,33.51,151.60,3.89,1.19,13.79,1513.76,30.24,190.05,4.04,16.11,2.78,21.89,111.62,23.25,31.60,439.22,432.28,37.17,4.20,1.20,2.19,16.13,5.31,24.27,6.08,1.89,6.67,1.04,6.57,1.34,4.02,0.56,3.80,0.56,4.50,0.24
Mocho-Choshuenco,130108_05Ciii,Central vent : unit MC3,13208-11999,39.852,71.924,this study,52.03,1.04,20.82,8.76,0.13,2.53,5.38,3.28,0.82,0.21,36.37,4.97,99.98,,52.03,1.04,20.83,8.76,0.13,2.53,5.38,3.28,0.82,0.21,,32.86,190.02,4.80,0.83,16.07,954.41,31.67,172.83,24.32,15.51,Below DL,48.38,69.23,23.51,20.34,334.92,283.96,34.31,5.26,1.32,1.59,19.00,5.87,28.05,6.58,1.76,6.81,1.07,7.29,1.43,4.35,0.62,4.08,0.62,5.73,0.33
Mocho-Choshuenco,130108_05Ci,Central vent : unit MC3,13208-11999,39.852,71.924,this study,55.00,0.97,19.36,8.08,0.14,2.58,5.68,3.84,1.00,0.19,38.72,3.34,100.19,,54.90,0.96,19.33,8.07,0.14,2.58,5.67,3.84,1.00,0.19,,31.19,178.11,4.49,0.96,16.19,915.82,29.88,167.98,21.06,15.63,Below DL,46.00,78.95,23.22,25.73,394.23,355.70,35.78,5.24,1.34,1.91,18.38,5.70,25.63,6.10,1.75,6.43,1.03,6.65,1.33,4.00,0.57,3.94,0.59,5.58,0.31
Mocho-Choshuenco,130108_05Cii,Central vent : unit MC3,13208-11999,39.852,71.924,this study,58.77,0.89,17.05,7.66,0.16,2.99,6.21,4.39,1.29,0.15,43.57,0.74,100.28,,58.60,0.89,17.00,7.64,0.16,2.98,6.19,4.38,1.28,0.15,,31.52,152.34,3.87,1.25,13.89,763.19,30.14,193.47,19.84,19.49,Below DL,53.81,98.27,22.15,33.52,397.46,415.88,36.08,4.40,1.32,2.42,16.16,4.80,22.41,5.53,1.59,5.79,0.94,6.14,1.22,3.68,0.52,3.70,0.55,4.56,0.25
Mocho-Choshuenco,130111_02Bi,Central vent : unit MC4 (Neltume),12393-10389,,,this study,52.66,1.24,17.65,10.38,0.18,4.29,8.88,3.78,0.64,0.15,45.01,0.46,100.31,,52.50,1.24,17.59,10.35,0.18,4.28,8.85,3.77,0.63,0.14,,21.23,71.60,1.78,0.61,7.32,727.26,40.05,357.57,28.47,29.53,Below DL,65.10,104.80,23.78,14.73,591.88,247.62,21.48,1.55,0.50,1.14,8.12,2.92,14.57,3.74,1.38,4.30,0.67,4.21,0.88,2.54,0.35,2.36,0.35,2.25,0.11
Mocho-Choshuenco,130130_05Bi,Central vent : unit MC4 (Neltume),12393-10389,39.793,72.104,this study,52.16,1.27,17.59,10.74,0.17,4.47,8.78,3.70,0.59,0.15,45.18,0.65,100.34,,51.98,1.27,17.53,10.71,0.17,4.46,8.75,3.69,0.59,0.15,,21.62,71.20,1.75,0.59,7.47,732.73,40.66,373.55,27.14,30.83,Below DL,82.19,103.43,23.08,13.34,574.93,220.14,20.04,1.50,0.49,0.98,8.51,3.02,14.06,3.76,1.35,4.10,0.65,4.28,0.86,2.48,0.34,2.30,0.36,2.19,0.11
Mocho-Choshuenco,130130_05Ci,Central vent : unit MC4 (Neltume),12393-10389,39.793,72.104,this study,53.95,0.84,23.05,5.20,0.17,0.71,2.22,3.64,1.30,0.21,21.19,8.14,99.44,,54.25,0.85,23.18,5.23,0.17,0.71,2.23,3.66,1.31,0.22,,56.73,346.24,8.64,1.55,30.90,953.47,18.56,34.38,1.46,3.71,Below DL,9.58,60.49,27.07,33.27,226.89,419.54,73.94,9.62,2.73,2.39,33.00,10.18,46.29,10.84,2.41,10.55,1.73,10.67,2.23,6.74,1.00,6.70,1.01,9.97,0.56
Mocho-Choshuenco,130130_05Dii,Central vent : unit MC4 (Neltume),12393-10389,39.793,72.104,this study,56.79,0.89,20.56,5.69,0.15,1.36,3.20,4.46,1.36,0.23,32.13,5.23,99.92,,56.84,0.89,20.57,5.70,0.15,1.36,3.20,4.46,1.36,0.23,,36.54,292.65,7.58,1.49,25.86,1063.65,20.53,83.89,3.14,7.46,Below DL,11.26,75.53,25.96,35.63,340.00,486.07,57.71,7.67,2.21,2.55,20.46,6.74,29.90,7.51,1.97,7.36,1.19,7.84,1.56,4.58,0.68,4.80,0.74,8.29,0.45
Mocho-Choshuenco,130130_05Cii,Central vent : unit MC4 (Neltume),12393-10389,39.793,72.104,this study,55.01,0.87,22.38,5.36,0.16,0.86,2.41,3.94,1.34,0.22,24.15,7.10,99.67,,55.19,0.87,22.45,5.38,0.16,0.87,2.42,3.96,1.34,0.22,,49.78,329.80,8.42,1.62,29.70,999.19,19.07,42.12,1.71,4.30,Below DL,8.75,63.67,26.37,33.90,255.33,427.75,69.33,9.33,2.67,2.48,29.36,9.59,40.41,9.28,2.19,9.42,1.48,9.69,1.96,5.86,0.88,6.14,0.91,8.93,0.53
Mocho-Choshuenco,130130_05Di,Central vent : unit MC4 (Neltume),12393-10389,39.793,72.104,this study,56.90,0.89,20.52,5.74,0.15,1.41,3.29,4.47,1.35,0.24,32.65,5.10,100.06,,56.86,0.89,20.51,5.74,0.15,1.41,3.29,4.46,1.35,0.24,,37.40,284.12,7.45,1.52,25.20,1131.07,20.27,83.80,3.05,6.76,Below DL,12.11,77.25,25.87,35.98,350.27,476.20,55.83,7.77,2.24,2.54,19.76,6.75,31.60,7.68,2.06,7.67,1.23,7.93,1.59,4.81,0.71,5.02,0.76,8.29,0.46
Mocho-Choshuenco,117_01B,Central vent : unit MC4 (Neltume),12393-10389,39.654,71.915,this study,57.94,0.66,21.19,4.22,0.11,0.50,1.62,4.10,1.65,0.10,18.85,7.80,99.89,,58.00,0.66,21.21,4.23,0.11,0.50,1.62,4.11,1.66,0.10,,45.84,350.02,8.69,1.52,25.97,450.52,14.96,29.23,2.60,3.14,Below DL,15.42,67.76,18.18,42.37,193.00,491.02,57.55,9.95,2.00,3.09,29.24,7.96,33.12,7.59,1.78,7.36,1.18,7.61,1.56,4.78,0.70,4.94,0.73,9.59,0.54
